               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.029166,            0.014513,           0.0090249,             0.77163,             0.87282,             0.87538,             0.54067,            0.021443,           0.0047124,           0.0032789,           0.0059216,           0.0059216,           0.0059216
                 126,            0.026913,            0.013981,           0.0078497,             0.74968,             0.86278,             0.86578,             0.55403,            0.021411,           0.0048854,            0.002876,           0.0058887,           0.0058887,           0.0058887
                 127,            0.031123,            0.014642,           0.0084956,             0.70598,              0.7654,             0.78727,             0.47952,             0.02136,           0.0052792,           0.0042579,           0.0058558,           0.0058558,           0.0058558
                 128,            0.025614,            0.014943,           0.0057259,              0.7581,             0.81215,             0.81859,             0.50447,            0.020277,           0.0050812,           0.0044274,           0.0058229,           0.0058229,           0.0058229
                 129,             0.02216,            0.013804,           0.0063443,              0.7803,              0.8129,             0.81936,             0.51266,            0.020473,           0.0050885,           0.0040177,             0.00579,             0.00579,             0.00579
                 130,            0.023478,            0.014621,            0.010013,             0.80215,             0.81062,             0.83827,             0.53683,            0.019737,           0.0049684,           0.0038027,           0.0057571,           0.0057571,           0.0057571
                 131,            0.022752,            0.014681,           0.0067986,             0.80424,             0.78752,             0.82592,              0.5488,            0.019693,           0.0049201,           0.0032991,           0.0057243,           0.0057243,           0.0057243
                 132,            0.024551,            0.013302,           0.0091827,             0.78484,             0.86243,             0.86121,             0.55303,            0.021057,           0.0047958,           0.0032867,           0.0056914,           0.0056914,           0.0056914
                 133,            0.025879,            0.013899,           0.0081407,             0.77214,             0.78468,             0.80857,             0.51103,             0.02119,           0.0049801,           0.0033871,           0.0056585,           0.0056585,           0.0056585
                 134,            0.026047,            0.013724,           0.0087543,             0.74628,             0.80583,             0.82258,             0.53616,            0.020463,           0.0047371,           0.0036188,           0.0056256,           0.0056256,           0.0056256
                 135,            0.025244,            0.013726,           0.0069688,             0.73376,             0.83345,              0.8218,             0.54638,            0.019271,           0.0046263,           0.0039966,           0.0055927,           0.0055927,           0.0055927
                 136,            0.027169,            0.014011,            0.011208,             0.75563,             0.73891,             0.80909,             0.51975,            0.020642,           0.0047874,           0.0036704,           0.0055598,           0.0055598,           0.0055598
                 137,             0.02367,            0.013123,            0.008223,             0.77846,             0.79893,             0.83501,             0.53944,            0.022316,           0.0047051,           0.0035325,           0.0055269,           0.0055269,           0.0055269
                 138,            0.027987,             0.01565,           0.0060356,             0.89334,             0.73544,              0.8621,             0.55549,            0.021422,           0.0046626,           0.0028352,            0.005494,            0.005494,            0.005494
                 139,            0.025041,            0.013923,           0.0075672,             0.82418,             0.81393,             0.87997,              0.5749,            0.019145,           0.0046626,           0.0025644,           0.0054611,           0.0054611,           0.0054611
                 140,            0.025333,            0.014518,           0.0073141,             0.78626,             0.83282,             0.87378,             0.55813,            0.019992,           0.0049603,           0.0027827,           0.0054282,           0.0054282,           0.0054282
                 141,            0.027683,            0.015438,           0.0080945,             0.79511,             0.84327,             0.87332,             0.55816,            0.020323,           0.0048552,           0.0030982,           0.0053953,           0.0053953,           0.0053953
                 142,            0.024212,            0.013512,           0.0077302,             0.81337,             0.84616,             0.85712,             0.56257,            0.020508,           0.0047642,           0.0029261,           0.0053625,           0.0053625,           0.0053625
                 143,             0.02293,            0.013587,           0.0077324,             0.80924,             0.84759,             0.84581,             0.56324,            0.018982,           0.0046954,           0.0027815,           0.0053296,           0.0053296,           0.0053296
                 144,            0.024821,            0.013173,           0.0067741,             0.78314,             0.79605,             0.84264,              0.5484,            0.018722,           0.0047229,           0.0040416,           0.0052967,           0.0052967,           0.0052967
                 145,            0.023471,            0.013083,           0.0071244,             0.78835,             0.81382,             0.86513,             0.54774,            0.018702,           0.0047149,           0.0041529,           0.0052638,           0.0052638,           0.0052638
                 146,            0.021451,            0.013609,           0.0070701,             0.83165,             0.84627,             0.87074,             0.55772,            0.019052,           0.0046286,           0.0024008,           0.0052309,           0.0052309,           0.0052309
                 147,            0.021101,            0.012927,           0.0078774,             0.78296,             0.85839,             0.88168,             0.58692,            0.017798,           0.0046469,           0.0025196,            0.005198,            0.005198,            0.005198
                 148,            0.022627,            0.014179,           0.0062235,              0.8187,             0.83305,             0.86705,             0.56916,              0.0184,           0.0045046,           0.0030619,           0.0051651,           0.0051651,           0.0051651
